productId,productName,brand,amount,unit,price,productCode,rating,raitingCount,stokeStatus,productImgUrl,pricePerOne,capsuleType,productUrl
0,"California Gold Nutrition, 子ども用DHAチュアブル、100％ワイルドホッキョクタラ、ストロベリーレモン風味、魚ゼラチンソフトジェル180粒",カリフォルニア ゴールド ニュートリション,180, 点,875,CGN-01098,4.4,466,instock,https://s3.images-iherb.com/cgn/cgn01098/v/63.jpg,4.861111111111111,Softgels,https://jp.iherb.com/pr/California-Gold-Nutrition-Children-s-DHA-Chewables-100-Wild-Arctic-Cod-Strawberry-Lemon-Flavor-180-Fish-Gelatin-Softgels/70956
0,"California Gold Nutrition, DHA 700フィッシュオイル、医薬品グレード、1,000mg、魚ゼラチンソフトジェル30粒",カリフォルニア ゴールド ニュートリション,30, 点,875,CGN-01252,4.5,480,instock,https://s3.images-iherb.com/cgn/cgn01252/v/55.jpg,29.166666666666668,Softgels,https://jp.iherb.com/pr/California-Gold-Nutrition-DHA-700-Fish-Oil-Pharmaceutical-Grade-1-000-mg-30-Fish-Gelatin-Softgels/82846
0,"Lake Avenue Nutrition, 藻類由来DHA、植物性オメガ、200mg、植物性ソフトジェル60粒",Lake Avenue Nutrition,60, 点,984,LKN-01411,4.2,8,instock,https://s3.images-iherb.com/lkn/lkn01411/v/21.jpg,16.4,Softgels,https://jp.iherb.com/pr/Lake-Avenue-Nutrition-DHA-from-Marine-Algae-Vegetarian-Omega-200-mg-60-Veggie-Softgels/97412
0,"California Gold Nutrition, Prenatal DHA for Pregnant & Nursing Mothers, 900 mg Per Serving, 60 Softgels",カリフォルニア ゴールド ニュートリション,60, 点,1969,CGN-01336,3.6,63,instock,https://s3.images-iherb.com/cgn/cgn01336/v/99.jpg,32.81666666666667,Softgels,https://jp.iherb.com/pr/California-Gold-Nutrition-Prenatal-DHA-for-Pregnant-Nursing-Mothers-900-mg-Per-Serving-60-Softgels/88811
0,"Jarrow Formulas, マックスDHA、 180ソフトジェル",ジャロウフォーミュラズ,180, 点,2498,JRW-16018,4.6,362,instock,https://s3.images-iherb.com/jrw/jrw16018/v/20.jpg,13.877777777777778,Softgels,https://jp.iherb.com/pr/Jarrow-Formulas-Max-DHA-180-Softgels/252
0,"Now Foods, DHA-250, 120 Softgels",ナウフーズ,120, 点,1313,NOW-01610,4.6,116,instock,https://s3.images-iherb.com/now/now01610/v/32.jpg,10.941666666666666,Softgels,https://jp.iherb.com/pr/Now-Foods-DHA-250-120-Softgels/534
0,"OmegaVia, DHA600、120錠",OmegaVia,120, 点,2814,OME-98495,5,5,instock,https://s3.images-iherb.com/ome/ome98495/v/10.jpg,23.45,Capsules,https://jp.iherb.com/pr/OmegaVia-DHA-600-120-Capsules/94910
0,"Nordic Naturals, 藻類DHA、ソフトジェル60粒",ノルディックナチュラルズ,60, 点,3250,NOR-01604,5,8,instock,https://s3.images-iherb.com/nor/nor01604/v/0.jpg,54.166666666666664,Softgels,https://jp.iherb.com/pr/Nordic-Naturals-Algae-DHA-60-Soft-Gels/91972
0,"GummiKing, Omega-3 DHA + EPA for Kids, Strawberry, Orange and Lemon, 60 Gummies",グミキング,60, 点,1024,GUM-00083,4.4,1799,instock,https://s3.images-iherb.com/gum/gum00083/v/34.jpg,17.066666666666666,Not Found,https://jp.iherb.com/pr/GummiKing-DHA-Omega-3-Gummi-for-Kids-60-Gummies/34013
0,"Jarrow Formulas, EPA-DHA Balance（EPA-DHAバランス）、ソフトジェル240粒",ジャロウフォーミュラズ,240, 点,2760,JRW-16039,4.6,1391,instock,https://s3.images-iherb.com/jrw/jrw16039/v/13.jpg,11.5,Softgels,https://jp.iherb.com/pr/Jarrow-Formulas-EPA-DHA-Balance-240-Softgels/7929
0,"Jarrow Formulas, マックスDHA、ソフトジェル90粒",ジャロウフォーミュラズ,90, 点,1445,JRW-16007,4.6,362,instock,https://s3.images-iherb.com/jrw/jrw16007/v/18.jpg,16.055555555555557,Softgels,https://jp.iherb.com/pr/Jarrow-Formulas-Max-DHA-90-Softgels/40615
0,"ChildLife, Pure DHA（ピュアDHA）、ナチュラルベリーフレーバー、ソフトジェル90錠",チャイルドライフ,90, 点,1133,CDL-10550,4.5,2315,instock,https://s3.images-iherb.com/cdl/cdl10550/v/15.jpg,12.588888888888889,Softgels,https://jp.iherb.com/pr/ChildLife-Pure-DHA-Natural-Berry-Flavor-90-Softgels/12573
0,"Now Foods, DHA-500/EPA-250、ダブル強度、180ソフトジェル",ナウフーズ,180, 点,2522,NOW-01613,4.4,643,instock,https://s3.images-iherb.com/now/now01613/v/6.jpg,14.011111111111111,Softgels,https://jp.iherb.com/pr/Now-Foods-DHA-500-EPA-250-Double-Strength-180-Softgels/10713
0,"Life Extension, Mega EPA/DHA, 120 Softgels",ライフエクステンション,120, 点,1641,LEX-19371,4.6,310,instock,https://s3.images-iherb.com/lex/lex19371/v/67.jpg,13.675,Softgels,https://jp.iherb.com/pr/Life-Extension-Mega-EPA-DHA-120-Softgels/68440
0,"Nordic Naturals, DHA、ストロベリー、500 mg, 180 Soft Gels",ノルディックナチュラルズ,180, 点,4645,NOR-03743,4.7,219,instock,https://s3.images-iherb.com/nor/nor03743/v/10.jpg,25.805555555555557,Softgels,https://jp.iherb.com/pr/Nordic-Naturals-DHA-Strawberry-500-mg-180-Soft-Gels/23074
0,"Jarrow Formulas, EPA-DHA Balance、ソフトジェル 120粒",ジャロウフォーミュラズ,120, 点,1577,JRW-16036,4.6,1391,instock,https://s3.images-iherb.com/jrw/jrw16036/v/12.jpg,13.141666666666667,Softgels,https://jp.iherb.com/pr/Jarrow-Formulas-EPA-DHA-Balance-120-Softgels/4571
0,"Nordic Naturals, DHA, イチゴ味, 500 mg, 90粒（ソフトゼリー）",ノルディックナチュラルズ,90, 点,2692,NOR-01743,4.7,219,instock,https://s3.images-iherb.com/nor/nor01743/v/10.jpg,29.91111111111111,Softgels,https://jp.iherb.com/pr/Nordic-Naturals-DHA-Strawberry-500-mg-90-Soft-Gels/7051
0,"Nordic Naturals, DHA Xtra、ストロベリー、1,000 mg、60ソフトジェル",ノルディックナチュラルズ,60, 点,2971,NOR-01745,4.3,184,instock,https://s3.images-iherb.com/nor/nor01745/v/12.jpg,49.516666666666666,Softgels,https://jp.iherb.com/pr/Nordic-Naturals-DHA-Xtra-Strawberry-1-000-mg-60-Soft-Gels/30241
0,"Now Foods, Kid's Chewable DHA, Tasty Fruit Flavor, 60 Softgels",ナウフーズ,60, 点,1050,NOW-01607,4.4,520,instock,https://s3.images-iherb.com/now/now01607/v/5.jpg,17.5,Softgels,https://jp.iherb.com/pr/Now-Foods-Kid-s-Chewable-DHA-Tasty-Fruit-Flavor-60-Softgels/16274
0,"21st Century, Zoo Friends, Smart Kids, Omega Plus DHA, 60 Gummies",21st Century,60, 点,603,CEN-27623,4.3,388,instock,https://s3.images-iherb.com/cen/cen27623/v/11.jpg,10.05,Not Found,https://jp.iherb.com/pr/21st-Century-Zoo-Friends-Smart-Kids-Omega-Plus-DHA-60-Gummies/61571
0,"Now Foods, オメガ3、180 EPA／120 DHA、ソフトジェル200粒",ナウフーズ,200, 点,1050,NOW-01652,4.5,8413,instock,https://s3.images-iherb.com/now/now01652/v/22.jpg,5.25,Softgels,https://jp.iherb.com/pr/Now-Foods-Omega-3-180-EPA-120-DHA-200-Softgels/323
0,"Nature's Way, EfaGold,メガ-DHA, 1000 mg, 60 ソフトジェルカプセル",ネイチャーズウェイ,60, 点,1595,NWY-15682,4.5,90,instock,https://s3.images-iherb.com/nwy/nwy15682/v/4.jpg,26.583333333333332,Softgels,https://jp.iherb.com/pr/Nature-s-Way-EfaGold-Mega-DHA-1000-mg-60-Softgels/5019
0,"Flora, DHAベジタリアン藻類、ベジタリアンソフトゲル60錠",フローラ,60, 点,3117,FLO-61422,4.5,25,instock,https://s3.images-iherb.com/flo/flo61422/v/2.jpg,51.95,Softgels,https://jp.iherb.com/pr/Flora-DHA-Vegetarian-Algae-60-Vegetarian-Softgels/37032
0,"VitaFusion, オメガ3、EPA / DHA、120グミ",ヴィタフュージョン,120, 点,1218,VFU-01723,4.5,62,instock,https://s3.images-iherb.com/vfu/vfu01723/v/3.jpg,10.15,Not Found,https://jp.iherb.com/pr/VitaFusion-Omega-3-EPA-DHA-120-Gummies/71432
0,"Nordic Naturals, ProDHA 1000, Strawberry , 1,000 mg, 120 Soft Gels",ノルディックナチュラルズ,120, 点,5390,NOR-01746,4.4,28,instock,https://s3.images-iherb.com/nor/nor01746/v/13.jpg,44.916666666666664,Softgels,https://jp.iherb.com/pr/Nordic-Naturals-ProDHA-1000-Strawberry-1-000-mg-120-Soft-Gels/70444
